stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,equipment,ext_juris,ext_lighting,ext_photo,ext_shelter,jurisdiction
place_LRCERE,,Roeser/Central Ave,,33.39883600,-112.07335000,,,1,,0,,,,,,,
place_LRCERO,,Roosevelt/Central Ave,,33.45934000,-112.07393800,,,1,,0,,,,,,,
place_TPLI,,Rural Rd & Tempe Library PNR,,33.38997500,-111.92658600,,,1,,0,,,,,,,
place_SCRUAP,,Rural/Apache,,33.41476000,-111.92525000,,,1,,0,,,,,,,
place_SCCC1,,Scottsdale CC PNR,,33.50990000,-111.87958300,,,1,,0,,,,,,,
place_SCPR,,Scottsdale PNR,,33.61044800,-111.92484100,,,1,,0,,,,,,,
place_APSM,,Smith-Martin/Apache Blvd,,33.41478300,-111.90079900,,,1,,0,,,,,,,
place_SMCC,,South Mountain CC,,33.38357200,-112.03347600,,,1,,0,,,,,,,
place_LRCESO,,Southern/Central Ave,,33.39149200,-112.07331700,,,1,,0,,,,,,,
place_LRMAST,,Stapley Dr/Main St,,33.41522500,-111.80309900,,,1,,0,,,,,,,
place_SUCE,,Sunnyslope TC,,33.56708300,-112.06899400,,,1,,0,,,,,,,
place_SSPR,,Superstition Springs PNR,,33.38724300,-111.69018900,,,1,,0,,,,,,,
place_SPMA,,Superstition Springs TC,,33.38745300,-111.68899200,,,1,,0,,,,,,,
place_SUPR,,Surprise PNR,,33.63808100,-112.34621400,,,1,,0,,,,,,,
place_MALO,,Sycamore/Main St,,33.41485500,-111.87090700,,,1,,0,,,,,,,
place_SYMA,,Sycamore/Main St TC,,33.41572200,-111.87036100,,,1,,0,,,,,,,
place_TEMP,,Tempe Marketplace,,33.43087600,-111.90462600,,,1,,0,,,,,,,
place_TELI,,Tempe Public Library,,33.39075900,-111.92798100,,,1,,0,,,,,,,
place_TETC,,Tempe Transportation Center,,33.42598300,-111.93600700,,,1,,0,,,,,,,
place_TWTC,,Thelda Williams TC,,33.57511300,-112.11932800,,,1,,0,,,,,,,
place_LRCETH,,Thomas/Central Ave,,33.48123300,-112.07376100,,,1,,0,,,,,,,
place_LRUNRU,,University Dr/Rural Rd,,33.42076000,-111.92692100,,,1,,0,,,,,,,
place_UNRU,,University/Rural TC,,33.42065400,-111.92707400,,,1,,0,,,,,,,
place_LRTETC,,Veterans Way/College Ave,,33.42611300,-111.93594500,,,1,,0,,,,,,,
place_WMPR,,West Mesa PNR,,33.38173300,-111.84238200,,,1,,0,,,,,,,
3603,15789,103rd Av & Thunderbird Rd,SB 103rd Av & FS Thunderbird Rd,33.60427800,-112.28134000,,,0,,0,,,Maricopa County," ",https://farm8.staticflickr.com/7342/16495944521_445081b9f5_o.jpg,0,County Areas
9366,18118,107th Av & Camelback Rd,SB 107th Av & FS Camelback Rd,33.50761700,-112.29018300,,,0,,0,,,Phoenix," "," ",0,Phoenix
4841,10189,10th Av & Dobbins Rd,SB 10th Av & FS Dobbins Rd,33.36266500,-112.08645300,,,0,,0,,,Phoenix," "," ",0,Phoenix
4842,10190,10th Av & McNeil St,SB 10th Av & NS McNeil St,33.35840300,-112.08764900,,,0,,0,,,Phoenix," "," ",0,Phoenix
40069,50068,10th St & Farmer Av (Flag Zone),EB 10th St & FS Farmer Av (Flag Zone),33.41888400,-111.94393800,,,0,,0,,0,,,,,Tempe
40082,50081,10th St & Farmer Av (Flag Zone),WB 10th St & NS Farmer Av (Flag Zone),33.41895000,-111.94411400,,,0,,0,,0,,,,,Tempe
40081,50080,10th St & Mill Av (Flag Zone),WB 10th St & FS Mill Av (Flag Zone),33.41911500,-111.94070200,,,0,,0,,0,,,,,Tempe
40199,50198,10th St & Smith Rd (Flag Zone),WB 10th St & FS Smith Rd (Flag Zone),33.41924100,-111.90075200,,,0,,0,,0,,,,,Tempe
30340,11645,110th St & Cortez St,SB 110th St & FS Cortez St,33.58969200,-111.84373800,,,0,,0,,,Scottsdale," "," ",0,Scottsdale
6146,10515,110th St & Via Linda,SB 110th St & NS Via Linda,33.58632600,-111.84376500,,,0,,0,,,Scottsdale," "," ",0,Scottsdale
3604,15539,111th Av & Alabama Av,SB 111th Av & FS Alabama Av,33.59317400,-112.29888600,,,0,,0,,,Youngtown," ",https://farm9.staticflickr.com/8661/15875122904_861d30061d_o.jpg,1,Youngtown
1886,15780,111th Av & Cherry Hills Dr,NB 111th Av & FS Cherry Hills Dr,33.59821900,-112.29860600,,,0,,0,,,Maricopa County," ",https://farm9.staticflickr.com/8612/16495949311_5cb8ca4f8d_o.jpg,0,County Areas
1887,15778,111th Av & Connecticut Av,NB 111th Av & FS Connecticut Av,33.59207600,-112.29865400,,,0,,0,,,Maricopa County," ",https://farm9.staticflickr.com/8641/16310251330_16a02e634a_o.jpg,0,County Areas
3605,15540,111th Av & Connecticut Av,SB 111th Av & FS Connecticut Av,33.59152700,-112.29888000,,,0,,0,,,Youngtown," ",https://farm9.staticflickr.com/8621/16497682725_aa147ae609_o.jpg,1,Youngtown
3606,10782,111th Av & Georgia Av,SB 111th Av & FS Georgia Av,33.58858900,-112.29885800,,,0,,0,,,Youngtown," ",https://farm8.staticflickr.com/7589/16785458387_96a47d700e_o.jpg,1,Youngtown
1888,15783,111th Av & Grand Av,NB 111th Av & FS Grand Av,33.60588200,-112.29855800,,,0,,0,,,Maricopa County," ",https://farm8.staticflickr.com/7296/16471689366_310592c3ef_o.jpg,0,County Areas
3607,15535,111th Av & Grand Av,SB 111th Av & FS Grand Av,33.60482900,-112.29887700,,,0,,0,,,Youngtown," "," ",0,County Areas
1885,15777,111th Av & Hollywood Av,NB 111th Av & NS Hollywood Av,33.58725600,-112.29866900,,,0,,0,,,Maricopa County," ",https://farm8.staticflickr.com/7447/16471689436_982b20bfe0_o.jpg,0,County Areas
3608,15538,111th Av & Jersey Av,SB 111th Av & FS Jersey Av,33.59708800,-112.29886200,,,0,,0,,,Youngtown," ",https://farm8.staticflickr.com/7307/16311753847_4396898e0b_o.jpg,1,Youngtown
1889,15776,111th Av & Montana Av,NB 111th Av & FS Montana Av,33.58400200,-112.29867400,,,0,,0,,,Maricopa County," ",https://farm8.staticflickr.com/7311/15877543193_de75b538fd_o.jpg,0,County Areas
3609,15541,111th Av & Montana Av,SB 111th Av & FS Montana Av,33.58318300,-112.29888800,,,0,,0,,,Youngtown," ",https://farm8.staticflickr.com/7350/16496675952_422119828d_o.jpg,1,Youngtown
9699,17101,111th Av & Pennsylvania Av,SB 111th Av & FS Pennsylvania Av,33.58085300,-112.29885400,,,0,,0,,,Youngtown," "," ",1,County Areas
1890,15775,111th Av & Peoria Av,NB 111th Av & FS Peoria Av,33.58047900,-112.29858100,,,0,,0,,,Maricopa County," ",https://farm9.staticflickr.com/8639/16495949211_b95e7e59ed_o.jpg,0,County Areas
1883,15784,111th Av & Silver Bell Dr,NB 111th Av & FS Silver Bell Dr,33.60820400,-112.29797300,,,0,,0,,,Maricopa County," ",https://farm9.staticflickr.com/8607/16497688035_764255dfe7_o.jpg,0,County Areas
3610,15534,111th Av & Silver Bell Dr,SB 111th Av & FS Silver Bell Dr,33.60760200,-112.29852500,,,0,,0,,,Maricopa County," ",https://farm8.staticflickr.com/7281/16310220620_1e3046f8d5_o.jpg,0,County Areas
1884,15781,111th Av & Tennessee Av,NB 111th Av & FS Tennessee Av,33.59996600,-112.29860400,,,0,,0,,,Maricopa County," ",https://farm8.staticflickr.com/7431/16309960408_336cdbc0c7_o.jpg,0,County Areas
3611,15537,111th Av & Tennessee Av,SB 111th Av & FS Tennessee Av,33.59888400,-112.29885500,,,0,,0,,,Youngtown," ",https://farm8.staticflickr.com/7299/16495944371_23f0b8e2ca_o.jpg,1,County Areas
3612,15533,111th Av & Thunderbird Bl,SB 111th Av & FS Thunderbird Rd,33.60882200,-112.29772700,,,0,,0,,,Maricopa County," ",https://farm8.staticflickr.com/7334/16497682585_cf18615e5a_o.jpg,0,County Areas
1891,15782,111th Av & Windsor Dr,NB 111th Av & FS Windsor Dr,33.60296400,-112.29857100,,,0,,0,,,Maricopa County," ",https://farm9.staticflickr.com/8589/16311413609_1154a3856c_o.jpg,0,County Areas
3613,15536,111th Av & Wisconsin Av,SB 111th Av & FS Wisconsin Av,33.60301300,-112.29882800,,,0,,0,,,Youngtown," ",https://farm8.staticflickr.com/7452/15875122714_ac60295476_o.jpg,1,County Areas
1892,15779,111th Av & Youngtown Av,NB 111th Av & NS Youngtown Av,33.59522300,-112.29861000,,,0,,0,,,Maricopa County," ",https://farm9.staticflickr.com/8621/16311758587_e80674715f_o.jpg,0,County Areas
1893,10873,11th St & Fillmore St,NB 11th St & FS Fillmore St,33.45508500,-112.05887000,,,0,,0,,,Phoenix," "," ",0,Phoenix
3614,10960,11th St & Fillmore St,SB 11th St & FS Fillmore St,33.45467300,-112.05902700,,,0,,0,,,Phoenix," "," ",0,Phoenix
3615,10958,11th St & Moreland St,SB 11th St & FS Moreland St,33.46080800,-112.05899600,,,0,,0,,,Phoenix," "," ",0,Phoenix
1894,15491,11th St & Roosevelt St,NB 11th St & FS Roosevelt St,33.45905600,-112.05884700,,,0,,0,,,Phoenix," "," ",0,Phoenix
3616,10959,11th St & Roosevelt St,SB 11th St & FS Roosevelt St,33.45846800,-112.05902500,,,0,,0,,,Phoenix," "," ",0,Phoenix
40107,50106,11th St & Townley Av (Flag Zone),NB 11th St & FS Townley Av (Flag Zone),33.56620600,-112.05874900,,,0,,0,,0,,,,,Phoenix
40128,50127,11th St & Townley Av (Flag Zone),SB 11th St & NS Townley Av (Flag Zone),33.56608200,-112.05887900,,,0,,0,,0,,,,,Phoenix
1895,18399,11th St & Van Buren St,NB 11th St & FS Van Buren St,33.45176500,-112.05887600,,,0,,0,,,Phoenix," "," ",0,Phoenix
1898,10910,12th St & Alice Av,NB 12th St & FS Alice Av,33.56449600,-112.05658500,,,0,,0,,,Phoenix," "," ",0,Phoenix
1899,10906,12th St & Belmont Av,NB 12th St & FS Belmont Av,33.54961600,-112.05643600,,,0,,0,,,Phoenix," "," ",0,Phoenix
3617,10927,12th St & Belmont Av,SB 12th St & NS Belmont Av,33.54932300,-112.05658400,,,0,,0,,,Phoenix," "," ",0,Phoenix
1900,18200,12th St & Bethany Home Rd,NB 12th St & FS Bethany Home Rd,33.52416400,-112.05612900,,,0,,0,,,Phoenix," "," ",0,Phoenix
3619,10935,12th St & Bethany Home Rd,SB 12th St & FS Bethany Home Rd,33.52325500,-112.05633200,,,0,,0,,,Phoenix," "," ",0,Phoenix
1901,10909,12th St & Butler Dr,NB 12th St & FS Butler Dr,33.56114500,-112.05662700,,,0,,0,,,Phoenix," "," ",0,Phoenix
3620,10924,12th St & Butler Dr,SB 12th St & FS Butler Dr,33.56017800,-112.05681600,,,0,,0,,,Phoenix," "," ",0,Phoenix
1902,10894,12th St & Camelback Rd,NB 12th St & FS Camelback Rd,33.50994400,-112.05613400,,,0,,0,,,Phoenix," "," ",0,Phoenix
3621,15385,12th St & Camelback Rd,SB 12th St & FS Camelback Rd,33.50884500,-112.05636900,,,0,,0,,,Phoenix," "," ",0,Phoenix
1903,10892,12th St & Campbell Av,NB 12th St & FS Campbell Av,33.50230400,-112.05620500,,,0,,0,,,Phoenix," "," ",0,Phoenix
3622,10941,12th St & Campbell Av,SB 12th St & FS Campbell Av,33.50157700,-112.05640200,,,0,,0,,,Phoenix," "," ",0,Phoenix
1904,10888,12th St & Clarendon Av,NB 12th St & FS Clarendon Av,33.49147900,-112.05625800,,,0,,0,,,Phoenix," "," ",0,Phoenix
1905,10895,12th St & Colter St,NB 12th St & FS Colter St,33.51323200,-112.05617500,,,0,,0,,,Phoenix," "," ",0,Phoenix
3623,10938,12th St & Colter St,SB 12th St & FS Colter St,33.51260900,-112.05632700,,,0,,0,,,Phoenix," "," ",0,Phoenix
1896,10890,12th St & Devonshire Av,NB 12th St & FS Devonshire Av,33.49710600,-112.05623300,,,0,,0,,,Phoenix," "," ",0,Phoenix
7854,10546,12th St & Devonshire Av,SB 12th St & FS Devonshire Av,33.49682100,-112.05639900,,,0,,0,,,Phoenix,,,,Phoenix
1906,10911,12th St & Dunlap Av,NB 12th St & FS Dunlap Av,33.56808600,-112.05671800,,,0,,0,,,Phoenix," "," ",0,Phoenix
3624,10922,12th St & Dunlap Av,SB 12th St & FS Dunlap Av,33.56741500,-112.05690400,,,0,,0,,,Phoenix," "," ",0,Phoenix
3625,10944,12th St & Fairmount Av,SB 12th St & FS Fairmount Av,33.49252200,-112.05640800,,,0,,0,,,Phoenix," "," ",0,Phoenix
1907,10902,12th St & Glendale Av,NB 12th St & FS Glendale Av,33.53870400,-112.05618900,,,0,,0,,,Phoenix," "," ",0,Phoenix
3626,10931,12th St & Glendale Av,SB 12th St & FS Glendale Av,33.53782200,-112.05639100,,,0,,0,,,Phoenix," "," ",0,Phoenix
1908,10908,12th St & Griswold Rd,NB 12th St & FS Griswold Rd,33.55749000,-112.05657900,,,0,,0,,,Phoenix," "," ",0,Phoenix
3627,10925,12th St & Griswold Rd,SB 12th St & FS Griswold Rd,33.55633400,-112.05672000,,,0,,0,,,Phoenix," "," ",0,Phoenix
3628,10921,12th St & Hatcher Rd,SB 12th St & FS Hatcher Rd,33.57092400,-112.05685300,,,0,,0,,,Phoenix," "," ",0,Phoenix
40108,50107,12th St & Hatcher Rd (Flag Zone),NB 12th St & FS Hatcher Rd (Flag Zone),33.57164800,-112.05664500,,,0,,0,,0,,,,,Phoenix
