area_id,area_name
SOEV,Southern Ave & Evergreen St
SOMI,Southern Ave & Mill Ave
LRCESO,Southern/Central Ave
SOLK,Southshore Dr & Lakeshore Dr
SJMN,St. John's Manor
STBA,Stapley Dr & Baseline Rd
STBD,Stapley Dr & Broadway Rd
STBR,Stapley Dr & Brown Rd
STMC,Stapley Dr & McKellips Rd
STSO,Stapley Dr & Southern Ave
STUN,Stapley Dr & University Dr
LRMAST,Stapley Dr/Main St
SUVI,Sunland Village East
SUCE,Sunnyslope TC
SSPR,Superstition Springs PNR
SPMA,Superstition Springs TC
SUPR,Surprise PNR
MALO,Sycamore/Main St
SYMA,Sycamore/Main St TC
45MY,Tanner Terrace
BETA,Tatum Blvd & Bell Rd
GRTA,Tatum Blvd & Greenway Rd
TAMO,Tatum Blvd & Mockingbird Ln
TBPRS,Tempe Beach Park & Rio Salado
TCFA,Tempe Center for the Arts
TEMP,Tempe Marketplace
TELI,Tempe Public Library
TMPE1,Tempe Transit Facility
TETC,Tempe Transportation Center
TWTC,Thelda Williams TC
3SASH,Third St & Ash
3DSML,Third St & Mill
LRCETH,Thomas/Central Ave
SCHE,Thompson Peak Medical Ctr
FRAC,Union Hills Dr & Foothills Aquatics Ctr
UHTA,Union Hills Dr & Tatum Blvd
UNASH,University Dr & Ash
UNCC,University Dr & Country Club
UNGI,University Dr & Gilbert Rd
UNGR,University Dr & Greenfield Rd
UNPR,University Dr & Price Rd
UNSO,University Dr & Sossaman Rd
LRUNRU,University Dr/Rural Rd
UNRU,University/Rural TC
GUVA,Val Vista Dr & Guadalupe Rd
VAPE,Val Vista Dr & Pecos Rd
UNVA,Val Vista Dr & University Dr
VB95,Van Buren St & 95th Ave
VB96,Van Buren St & 96th Ave
VBCE,Van Buren St & Central Ave
1AVB1,Van Buren/1st Ave
CEVA2,Van Buren/Central Ave
VQCA,Vee Quiva Casino
LRTETC,Veterans Way/College Ave
VLFL,Via Linda & Frank Lloyd Wright Blvd
VLLV,Via Linda & Lakeview Dr
VLSC,Via Linda Senior Center
WRRU,Warner Rd & Rural Rd
WA12,Washington St & 12th St
CEWA2,Washington/Central Ave
WMPR,West Mesa PNR
WFHI,Williams Field Rd & Higley Rd
YUWA,Yuma Rd & Watson Rd
