from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer,from_trip_id,to_trip_id
FB-0095-04,NEC-2192-02,1,,,,,,SWKNDWCPeriod-831264-5768,SWKNDWCPeriod-831050-5868
FB-0095-04,NEC-2192-02,1,,,,,,SWKNDWCPeriod-831265-5778,SWKNDWCPeriod-831052-5878
FB-0095-04,NEC-2192-02,1,,,,,,SWKNDWCPeriod-831267-5754,SWKNDWCPeriod-831048-5856
FB-0095-04,NEC-2192-02,1,,,,,,SWKNDWCPeriod-831269-5730,SWKNDWCPeriod-831041-5830
FB-0095-04,NEC-2192-02,1,,,,,,SWKNDWCPeriod-831271-5738,SWKNDWCPeriod-831043-5838
FB-0095-04,NEC-2192-02,1,,,,,,SWKNDWCPeriod-831273-5746,SWKNDWCPeriod-831045-5846
FB-0095-04,NEC-2192-02,1,,,,,,CP44-833905-5706,CP44-833753-5806
FB-0095-04,NEC-2192-02,1,,,,,,CP44-833961-5792,CP44-833771-5892
FB-0095-04,NEC-2192-02,1,,,,,,CP44-833963-5724,CP44-833756-5824
FB-0095-04,NEC-2192-02,1,,,,,,CP44-833977-5784,CP44-833769-5884
FB-0095-04,NEC-2192-02,1,,,,,,CP44-833980-5768,CP44-833766-5868
FB-0095-04,NEC-2192-02,1,,,,,,CP44-833981-5778,CP44-833768-5878
FB-0095-04,NEC-2192-02,1,,,,,,CP44-833983-5754,CP44-833764-5856
FB-0095-04,NEC-2192-02,1,,,,,,CP44-833985-5730,CP44-833757-5830
FB-0095-04,NEC-2192-02,1,,,,,,CP44-833987-5738,CP44-833759-5838
FB-0095-04,NEC-2192-02,1,,,,,,CP44-833989-5746,CP44-833761-5846
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-837471-776,PlainsINT-837275-874
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-837493-1708,PlainsINT-837286-908
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-837525-784,PlainsINT-837314-984
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-837553-792,PlainsINT-837282-892
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-837629-1756,PlainsINT-837268-856
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838503-5706,PlainsINT-838435-5806
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838559-5792,PlainsINT-838453-5892
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838561-5724,PlainsINT-838438-5824
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838575-5784,PlainsINT-838451-5884
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838578-5768,PlainsINT-838448-5868
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838579-5778,PlainsINT-838450-5878
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838581-5754,PlainsINT-838446-5856
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838583-5730,PlainsINT-838439-5830
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838585-5738,PlainsINT-838441-5838
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838587-5746,PlainsINT-838443-5846
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838023-776,PlainsINT-837828-874
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838046-1708,PlainsINT-837839-908
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838083-784,PlainsINT-837867-984
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838111-792,PlainsINT-837835-892
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838121-1756,PlainsINT-837821-856
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838313-5706,PlainsINT-838187-5806
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838369-5792,PlainsINT-838205-5892
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838371-5724,PlainsINT-838190-5824
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838385-5784,PlainsINT-838203-5884
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838388-5768,PlainsINT-838200-5868
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838389-5778,PlainsINT-838202-5878
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838391-5754,PlainsINT-838198-5856
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838393-5730,PlainsINT-838191-5830
FB-0095-04,NEC-2192-02,1,,,,,,PlainsINT-838395-5738,PlainsINT-838193-5838
