route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,direction0_name,direction1_name,route_group,alt_route_type,ext_nextride_id,route_division
120,1,120,Mesa Dr,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,VMTM
122,1,122,Cactus Rd,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,PHNS
128,1,128,Stapley Dr,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,VMTM
136,1,136,Gilbert Rd,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,VMTM
138,1,138,Thunderbird Rd,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,PHNS
140,1,140,Ray Rd,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,VMTM
154,1,154,Greenway Rd,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,PHNS
156,1,156,Chandler Blvd,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,VMTM
170,1,170,Bell Rd,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,PHNS
184,1,184,Power Rd,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,VMTM
186,1,186,Union Hills Dr/Mayo Blvd,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,PHNS
514,1,514,Scottsdale Express,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,VMTM
521,1,521,Central Tempe Express,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,VMTM
522,1,522,South Tempe Express,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,VMTM
531,1,531,Mesa/Gilbert Express,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,VMTM
533,1,533,Mesa Express,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,VMTM
535,1,535,Northeast Mesa Express,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,VMTM
542,1,542,Chandler Express,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,VMTM
562,1,562,Goodyear Express,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,VMW
563,1,563,Avondale/Buckeye Express,3,,591769,FFFFFF,Inbound,Outbound,Express & RAPID Bus,702,,VMW
